id,name,summary,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_cleaned
14898146,Immaculate 2bd Boston's most vibrant neighborhood!,"My place is close to East Broadway Shopping District, Lincoln Tavern & Restaurant, Loco Taqueria & Oyster Bar, Moko Japanese Cuisine, Castle Island, Cafe Arpeggio, Metal of Honor Park, Tommy Butler Park. You’ll love my place because of the location, the space, the neighborhood. My place is good for couples, solo adventurers, business travelers, families (with kids), and furry friends (pets).","East 3rd Street, Boston, MA 02127, United States",South Boston,42.33534049125617,-71.03599034517583,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$165.00,0,,,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,165.0
11474629,Stylish Boston home,"Located just minutes from Downtown, in the heart of Boston’s vibrant, historic Southie neighborhood, our fully-furnished, one-bedroom, one bathroom apartment, complete with a chef’s kitchen, spacious living area, and private outdoor space, offers a comfortable and convenient alternative to a hotel stay during your next visit to Boston.","Bowen Street, Boston, MA 02127, United States",South Boston,42.338282396960444,-71.05227309453551,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00,5,2016-05-23,2016-08-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
5019306,Sunny Duplex Condo + Parking,"This 2 bedroom condo spans 2 floors plus a roof deck for exceptional views of the Boston Harbor waterfront and downtown Boston. Private deeded parking space, 1 mile to the Seaport District and major highways, 2 miles to the South Station train station, 10 minutes to Logan Airport.","Ross Place, Boston, MA 02127, United States",South Boston,42.334837827076456,-71.02973676984534,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$300.00,38,2015-03-09,2016-08-22,96.0,10.0,10.0,10.0,10.0,10.0,9.0,300.0
11474006,Spacious apartment in South Boston,"Our home is a spacious 2-bedroom apartment on the top floor of a four-story mid-rise in South Boston, or “Southie” as it’s called by locals. :) It’s quite easy to get around on foot. Convenient location near Seaport Convention Center.","Tudor Street, Boston, MA 02127, United States",South Boston,42.33464730364794,-71.05176023507319,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,""Lock on Bedroom Door"",""24-Hour Check-in""}",$100.00,13,2016-03-06,2016-08-28,100.0,10.0,10.0,10.0,10.0,9.0,10.0,100.0
13636659,Quarters on Dot - hostel style unit,The STRB Quarters™ on DOT were completed in June 2016. The STRB Quarters™ concept blends the privacy and independence of a furnished apartment with the value and ease of a hostel-style accommodation. This unique offering by STRB provides our guests with private sleeping rooms for 1 or 2 people and shared kitchen and laundry facilities. The shared bathrooms on each floor are single-occupancy only which provides an additional layer of privacy to our guests.,"Dorchester Street, Boston, MA 02127, United States",South Boston,42.33615856090103,-71.0453576308181,Other,Private room,2,5.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Hair Dryer"",Iron}",$105.00,0,,,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,105.0
11758169,LOCATION! Modern Boston Home,"Trendy South Boston area, newly remodeled, access to a ton of restaurants and high end grocers right outside your door. Steps from BCEC!  Newly remodeled in modern luxury finishes. 10-15 min to downtown, convention, commons, etc.","Gold Street, Boston, MA 02127, United States",South Boston,42.33870449510884,-71.05309134821903,House,Entire home/apt,8,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$199.00,28,2016-04-14,2016-08-31,96.0,9.0,10.0,10.0,10.0,9.0,10.0,199.0
13586841,Quarters on Dot - hostel-style unit,The STRB Quarters™ on DOT were completed in June 2016. The STRB Quarters™ concept blends the privacy and independence of a furnished apartment with the value and ease of a hostel-style accommodation. This unique offering by STRB provides our guests with private sleeping rooms for 1 or 2 people and shared kitchen and laundry facilities. The shared bathrooms on each floor are single-occupancy only which provides an additional layer of privacy to our guests.,"Dorchester Street, Boston, MA 02127, United States",South Boston,42.33661676750966,-71.04541966631727,Other,Private room,2,5.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$95.00,2,2016-07-04,2016-07-30,80.0,10.0,10.0,8.0,8.0,9.0,8.0,95.0
7836038,Comfortable room in large apartment,"This cozy little room has a comfortable full-size bed with memory foam on the mattress with a closet and dresser for your use, within a shared apartment on a quiet street. It's in walking distance of Andrew T station, close to downtown and BCEC.","Middle Street, Boston, MA 02127, United States",South Boston,42.33160331667402,-71.0553630183722,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$100.00,26,2015-09-11,2016-08-06,94.0,9.0,10.0,10.0,10.0,9.0,9.0,100.0
6705513,One bedroom in a 2BD apartment,One bedroom with a queen size bed in a very clean 2BD home in South Boston. Place is perfect for a good night sleep and you can use living room for study or work. 1 min walk from the bus going to downtown and 10 mins walk from red line.,"Gates St, Boston, MA 02127, United States",South Boston,42.33145896648378,-71.04726308978339,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Shampoo}",$96.00,30,2015-06-23,2016-07-26,93.0,10.0,9.0,10.0,10.0,9.0,9.0,96.0
7475557,"3 bed, 2 bath, by Downtown/Ocean/Telegraph Hill","Entire 3 bed, 2 bath, 1800sqft apt w/ 7 total beds (2 Queen, 4 Twin,1 Full sofa bed). 5 min drive to Downtown and Airport, 5 min walk to the Beach/Ocean, and 10 min walk to the Redline Subway station. West side of Telegraph Hill in the South Boston neighborhood. The location is great because you've got the City, Nature, and Transportation. 1st floor & garden (lower level)- no elevator. Approx $10 Uber ride to Boston Convention Center (BCEC). No dedicated parking, limited options. 1 of 3 units.","Telegraph Street, Boston, MA 02127, United States",South Boston,42.333535149704176,-71.04847848951837,Apartment,Entire home/apt,10,2.0,3.0,7.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$325.00,17,2016-04-18,2016-09-05,99.0,10.0,10.0,10.0,10.0,10.0,10.0,325.0
